title_author,pages,genres,funny,lighthearted,adventurous,mysterious,emotional,tense,hopeful,dark,relaxing,challenging,inspiring,reflective,sad,informative,medium_pace,fast_pace,slow_pace,avg_rating,reviews,series
title_and_author,number_of_pages,genres,mood_funny,mood_lighthearted,mood_adventurous,mood_mysterious,mood_emotional,mood_tense,mood_hopeful,mood_dark,mood_relaxing,mood_challenging,mood_inspiring,mood_reflective,mood_sad,mood_informative,medium_pace,fast_pace,slow_pace,average_star_rating,number_reviews,is_part_of_a_series
The Women by Kristin Hannah,471,"['historical', 'fiction']",1%,0%,35%,0%,93%,44%,29%,41%,0%,50%,48%,44%,76%,48%,67%,27%,5%,4.65,5336,0
Iron Flame by Rebecca Yarros,625,"['romance', 'fiction', 'fantasy']",18%,1%,95%,31%,67%,68%,10%,48%,0%,30%,7%,3%,21%,1%,59%,28%,12%,4.2,73302,1
Bride by Ali Hazelwood,399,"['romance', 'fiction', 'fantasy']",75%,46%,45%,45%,41%,17%,15%,13%,6%,4%,2%,2%,2%,1%,57%,39%,3%,4.17,20118,0
A Fate Inked in Blood by Danielle L. Jensen,432,"['romance', 'fiction', 'fantasy']",15%,2%,97%,36%,49%,54%,7%,30%,0%,23%,7%,4%,7%,1%,61%,33%,5%,4.12,2794,1
The Teacher by Freida McFadden,400,"['thriller', 'fiction']",1%,0%,8%,79%,20%,71%,0%,80%,0%,13%,0%,2%,11%,0%,31%,66%,2%,3.8,6289,0
Divine Rivals by Rebecca Ross,357,"['young adult', 'romance', 'fiction', 'fantasy']",10%,6%,79%,31%,81%,47%,34%,24%,1%,15%,19%,11%,29%,1%,65%,27%,6%,4.31,50018,1
A Court of Silver Flames by Sarah J. Maas,757,"['romance', 'fiction', 'fantasy']",16%,3%,85%,16%,85%,46%,36%,52%,1%,33%,36%,27%,25%,1%,68%,16%,14%,4.37,126032,1
A Court of Thorns and Roses by Sarah J. Maas,416,"['romance', 'fiction', 'fantasy']",8%,4%,92%,42%,48%,45%,13%,48%,2%,15%,6%,2%,9%,0%,64%,22%,12%,4.01,242812,1
Dune by Frank Herbert,680,"['classics', 'science fiction', 'fiction']",0%,0%,90%,45%,15%,43%,4%,30%,0%,49%,9%,29%,5%,4%,42%,4%,52%,4.09,77978,1
Fourth Wing by Rebecca Yarros,528,"['romance', 'fiction', 'fantasy']",27%,5%,98%,33%,57%,55%,13%,31%,1%,24%,15%,3%,14%,1%,50%,46%,3%,4.48,131085,1
