,title_author,pages,genre,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark
1,Gravity by Tal Bauer,273,"['fiction', 'contemporary', 'lgbtqia+', 'romance', 'sports']",4.0,2017,0,0.0044,0.0051,0.0002,0.0027,0.0037,0.0091,0.0058,0.0034999999999999996,0.0007000000000000001,0.0021,0.0012,0.0011,0.001,0.0007000000000000001,0.0001,0.0,0.0
2,Every Last Secret by A.R. Torre,302,"['fiction', 'thriller']",3.78,7330,0,0.0039000000000000003,0.0042,0.0017000000000000001,0.0003,0.0001,0.0018,0.0,0.0,0.0,0.0063,0.0005,0.0003,0.0007000000000000001,0.0009,0.0,0.008,0.0068000000000000005
8,Black Cake by Charmaine Wilkerson,400,"['fiction', 'historical', 'literary']",4.15,16761,0,0.0051,0.0039000000000000003,0.0008,0.0002,0.0001,0.0088,0.0034999999999999996,0.0028000000000000004,0.0001,0.001,0.0034000000000000002,0.0066,0.0024,0.0018,0.0011,0.0043,0.001
9,Treason by Timothy Zahn,459,"['fiction', 'fantasy', 'science fiction']",4.16,2128,1,0.0048,0.001,0.004,0.0004,0.0002,0.0007000000000000001,0.0003,0.0003,0.0001,0.005,0.0,0.0008,0.0095,0.0015,0.0005,0.005699999999999999,0.002
10,Eric by Terry Pratchett,160,"['fiction', 'fantasy']",3.65,6634,1,0.0028000000000000004,0.0016,0.0054,0.0092,0.0073,0.0,0.0003,0.0001,0.0008,0.0,0.0,0.0004,0.0083,0.0,0.0001,0.0004,0.0001
11,"Kim Jiyoung, Born 1982 by Cho Nam-joo",163,"['fiction', 'contemporary', 'literary']",4.23,32386,0,0.0017000000000000001,0.0073,0.0007000000000000001,0.0001,0.0,0.0052,0.0002,0.0012,0.0,0.001,0.005,0.0079,0.0,0.0028000000000000004,0.0072,0.0,0.0014000000000000002
12,The Sandman Vol. 3: Dream Country by Neil Gaiman,160,"['fiction', 'comics', 'fantasy', 'mysterious']",4.14,10100,1,0.0044,0.0023,0.003,0.0009,0.0002,0.0033,0.0006,0.0005,0.0001,0.0021,0.0021,0.0029,0.0045000000000000005,0.0015,0.0,0.006,0.0089
13,"Ziemiożerczyni by Barbara Bardadyn, Dolores Reyes",184,"['fiction', 'magical realism']",3.53,1781,0,0.0033,0.0055000000000000005,0.001,0.0002,0.0,0.005,0.0002,0.0001,0.0,0.0034999999999999996,0.0043,0.0034000000000000002,0.0006,0.0028000000000000004,0.0001,0.0049,0.0087
16,Rosemary's Baby by Ira Levin,308,"['fiction', 'classics', 'thriller']",3.97,8728,1,0.004699999999999999,0.0015,0.0037,0.0004,0.0,0.0022,0.0,0.0,0.0,0.0076,0.0014000000000000002,0.0003,0.0003,0.0009,0.0,0.0073,0.009399999999999999
17,13 Reasons Why by Jay Asher,288,"['fiction', 'contemporary', 'mystery', 'young adult']",3.55,77602,0,0.003,0.0055000000000000005,0.0012,0.0,0.0,0.008,0.0003,0.0003,0.0,0.0040999999999999995,0.0077,0.0037,0.0003,0.0027,0.0006,0.0023,0.008199999999999999
18,Caught Up by Liz Tomforde,484,"['fiction', 'contemporary', 'romance', 'sports']",4.43,9422,1,0.0036,0.0058,0.0004,0.0075,0.0068000000000000005,0.0083,0.0051,0.0024,0.0014000000000000002,0.0002,0.001,0.0014000000000000002,0.0007000000000000001,0.0004,0.0,0.0,0.0
20,Perdido Street Station by China Miéville,623,"['fiction', 'fantasy', 'science fiction']",3.96,6087,1,0.0058,0.0008,0.0032,0.0008,0.0,0.0025,0.0,0.0004,0.0,0.0054,0.0024,0.0015,0.006999999999999999,0.0051,0.0001,0.005699999999999999,0.0089
