,index_0,pages,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark,author_count,author_stars,Fiction,Nonfiction,Literary,Fantasy,Crime,Social,Children,Romans,Realism,Crime_mix,Fantasy_adventurous,Fantasy_author_stars,Fantasy_inspiring,Fantasy_mix,Fiction_adventurous,Fiction_author_stars,Fiction_challenging,Fiction_character,Fiction_dark,Fiction_emotional,Fiction_hopeful,Fiction_inspiring,Fiction_mix,Fiction_mysterious,Fiction_plot,Fiction_reflective,Fiction_sad,Fiction_tense,Literary_author_stars,Literary_emotional,Literary_inspiring,Literary_mix,Literary_mysterious,Literary_sad,Nonfiction_author_stars,Nonfiction_challenging,Nonfiction_hopeful,Romans_author_stars,Social_author_stars,series_adventurous,series_author_stars,series_emotional,series_mix
0,0,273,4.0,2017,0,0.44,0.51,0.02,0.27,0.37,0.91,0.58,0.34999999999999,0.0699999999999999,0.21,0.12,0.11,0.1,0.0699999999999999,0.01,0.0,0.0,3,4.305,1,1,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.1,4.305,0.0699999999999999,0.51,0.0,0.91,0.58,0.34999999999999,0.44,0.0,0.02,0.11,0.12,0.21,0.0,0.0,0.0,0.0,0.0,0.0,4.305,0.0699999999999999,0.58,4.305,4.305,0.0,0.0,0.0,0.0
1,1,302,3.78,7330,0,0.3899999999999999,0.42,0.1699999999999999,0.03,0.01,0.18,0.0,0.0,0.0,0.63,0.05,0.03,0.0699999999999999,0.09,0.0,0.8,0.6799999999999999,2,3.67,1,0,0,0,1,0,0,0,0,0.3899999999999999,0.0,0.0,0.0,0.0,0.0699999999999999,3.67,0.09,0.42,0.6799999999999999,0.18,0.0,0.0,0.3899999999999999,0.8,0.1699999999999999,0.03,0.05,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,400,4.15,16761,0,0.51,0.3899999999999999,0.08,0.02,0.01,0.88,0.34999999999999,0.2799999999999999,0.01,0.1,0.3399999999999999,0.66,0.24,0.18,0.11,0.43,0.1,1,0.0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.18,0.3899999999999999,0.1,0.88,0.34999999999999,0.2799999999999999,0.51,0.43,0.08,0.66,0.3399999999999999,0.1,0.0,0.88,0.2799999999999999,0.51,0.43,0.3399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,459,4.16,2128,1,0.48,0.1,0.4,0.04,0.02,0.0699999999999999,0.03,0.03,0.01,0.5,0.0,0.08,0.95,0.15,0.05,0.56999999999999,0.2,1,0.0,1,0,0,1,0,0,0,0,0,0.0,0.95,0.0,0.03,0.48,0.95,0.0,0.15,0.1,0.2,0.0699999999999999,0.03,0.03,0.48,0.56999999999999,0.4,0.08,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0699999999999999,0.48
4,4,160,3.65,6634,1,0.2799999999999999,0.16,0.54,0.92,0.73,0.0,0.03,0.01,0.08,0.0,0.0,0.04,0.83,0.0,0.01,0.04,0.01,27,4.115,1,0,0,1,0,0,0,0,0,0.0,0.83,4.115,0.01,0.2799999999999999,0.83,4.115,0.0,0.16,0.01,0.0,0.03,0.01,0.2799999999999999,0.04,0.54,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.115,0.0,0.2799999999999999
5,5,163,4.23,32386,0,0.1699999999999999,0.73,0.0699999999999999,0.01,0.0,0.52,0.02,0.12,0.0,0.1,0.5,0.79,0.0,0.2799999999999999,0.72,0.0,0.1399999999999999,1,0.0,1,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.73,0.1399999999999999,0.52,0.02,0.12,0.1699999999999999,0.0,0.0699999999999999,0.79,0.5,0.1,0.0,0.52,0.12,0.1699999999999999,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,160,4.14,10100,1,0.44,0.2299999999999999,0.3,0.09,0.02,0.33,0.06,0.05,0.01,0.21,0.21,0.29,0.4499999999999999,0.15,0.0,0.6,0.89,25,4.0841666666666665,1,1,0,1,0,0,0,0,0,0.0,0.4499999999999999,4.0841666666666665,0.05,0.44,0.4499999999999999,4.0841666666666665,0.15,0.2299999999999999,0.89,0.33,0.06,0.05,0.44,0.6,0.3,0.29,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,4.0841666666666665,0.15,0.06,0.0,0.0,0.4499999999999999,4.0841666666666665,0.33,0.44
7,7,184,3.53,1781,0,0.33,0.5499999999999999,0.1,0.02,0.0,0.5,0.02,0.01,0.0,0.34999999999999,0.43,0.3399999999999999,0.06,0.2799999999999999,0.01,0.49,0.8699999999999999,1,0.0,1,0,0,1,0,0,0,0,0,0.0,0.06,0.0,0.01,0.33,0.06,0.0,0.2799999999999999,0.5499999999999999,0.8699999999999999,0.5,0.02,0.01,0.33,0.49,0.1,0.3399999999999999,0.43,0.34999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,308,3.97,8728,1,0.46999999999999,0.15,0.37,0.04,0.0,0.22,0.0,0.0,0.0,0.76,0.1399999999999999,0.03,0.03,0.09,0.0,0.73,0.93999999999999,2,3.89,1,0,1,0,1,0,0,0,0,0.46999999999999,0.0,0.0,0.0,0.0,0.03,3.89,0.09,0.15,0.93999999999999,0.22,0.0,0.0,0.46999999999999,0.73,0.37,0.03,0.1399999999999999,0.76,3.89,0.22,0.0,0.46999999999999,0.73,0.1399999999999999,0.0,0.0,0.0,0.0,0.0,0.03,3.89,0.22,0.46999999999999
9,9,288,3.55,77602,0,0.3,0.5499999999999999,0.12,0.0,0.0,0.8,0.03,0.03,0.0,0.40999999999999,0.77,0.37,0.03,0.27,0.06,0.2299999999999999,0.81999999999999,1,0.0,1,0,0,0,1,0,1,0,1,0.3,0.0,0.0,0.0,0.0,0.03,0.0,0.27,0.5499999999999999,0.81999999999999,0.8,0.03,0.03,0.3,0.2299999999999999,0.12,0.37,0.77,0.40999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
