,pages,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark,author_count,author_stars,Fiction,Nonfiction,Literary,Fantasy,Crime,Social,Children,Romans,Realism
0,273,4.0,2017,0,0.44,0.51,0.02,0.27,0.37,0.91,0.58,0.34999999999999,0.06999999999999999,0.21,0.12,0.11,0.1,0.06999999999999999,0.01,0.0,0.0,3,4.305,1,1,0,0,0,1,0,1,1
1,302,3.78,7330,0,0.38999999999999996,0.42,0.16999999999999998,0.03,0.01,0.18,0.0,0.0,0.0,0.63,0.05,0.03,0.06999999999999999,0.09,0.0,0.8,0.6799999999999999,2,3.6699999999999995,1,0,0,0,1,0,0,0,0
2,400,4.15,16761,0,0.51,0.38999999999999996,0.08,0.02,0.01,0.88,0.34999999999999,0.27999999999999997,0.01,0.1,0.33999999999999997,0.66,0.24,0.18,0.11,0.43,0.1,1,0.0,1,0,1,0,0,0,0,0,0
3,459,4.16,2128,1,0.48,0.1,0.4,0.04,0.02,0.06999999999999999,0.03,0.03,0.01,0.5,0.0,0.08,0.95,0.15,0.05,0.56999999999999,0.2,1,0.0,1,0,0,1,0,0,0,0,0
4,160,3.65,6634,1,0.27999999999999997,0.16,0.54,0.9199999999999999,0.73,0.0,0.03,0.01,0.08,0.0,0.0,0.04,0.83,0.0,0.01,0.04,0.01,27,4.115,1,0,0,1,0,0,0,0,0
5,163,4.23,32386,0,0.16999999999999998,0.73,0.06999999999999999,0.01,0.0,0.52,0.02,0.12,0.0,0.1,0.5,0.79,0.0,0.27999999999999997,0.72,0.0,0.13999999999999999,1,0.0,1,0,1,0,0,0,0,0,1
6,160,4.14,10100,1,0.44,0.22999999999999998,0.3,0.09,0.02,0.33,0.06,0.05,0.01,0.21,0.21,0.29,0.44999999999999996,0.15,0.0,0.6,0.89,25,4.0841666666666665,1,1,0,1,0,0,0,0,0
7,184,3.53,1781,0,0.33,0.5499999999999999,0.1,0.02,0.0,0.5,0.02,0.01,0.0,0.34999999999999,0.43,0.33999999999999997,0.06,0.27999999999999997,0.01,0.49,0.8699999999999999,1,0.0,1,0,0,1,0,0,0,0,0
8,308,3.97,8728,1,0.46999999999999,0.15,0.37,0.04,0.0,0.22,0.0,0.0,0.0,0.76,0.13999999999999999,0.03,0.03,0.09,0.0,0.73,0.93999999999999,2,3.89,1,0,1,0,1,0,0,0,0
9,288,3.55,77602,0,0.3,0.5499999999999999,0.12,0.0,0.0,0.8,0.03,0.03,0.0,0.40999999999999,0.77,0.37,0.03,0.27,0.06,0.22999999999999998,0.81999999999999,1,0.0,1,0,0,0,1,0,1,0,1
10,484,4.43,9422,1,0.36,0.58,0.04,0.75,0.6799999999999999,0.83,0.51,0.24,0.13999999999999999,0.02,0.1,0.13999999999999999,0.06999999999999999,0.04,0.0,0.0,0.0,3,4.234999999999999,1,1,0,0,0,0,0,1,1
11,623,3.96,6087,1,0.58,0.08,0.32,0.08,0.0,0.25,0.0,0.04,0.0,0.54,0.24,0.15,0.6999999999999901,0.51,0.01,0.56999999999999,0.89,5,3.9025,1,0,0,1,0,0,0,0,0
12,232,4.12,26660,0,0.0,0.0,0.0,0.34999999999999,0.02,0.8,0.1,0.09,0.01,0.1,0.46999999999999,0.83,0.01,0.3,0.06999999999999999,0.02,0.43,4,4.063333333333333,0,1,0,0,0,1,0,0,1
13,352,3.62,3019,1,0.48,0.06,0.43,0.02,0.03,0.44999999999999996,0.22,0.09,0.02,0.33999999999999997,0.1,0.09,0.9299999999999999,0.12,0.01,0.38999999999999996,0.32,3,3.8400000000000003,1,0,0,1,0,0,1,0,0
14,455,3.88,2431,1,0.67,0.09,0.22,0.08,0.03,0.53,0.16999999999999998,0.13,0.0,0.4,0.18,0.13,0.96,0.19,0.05,0.44999999999999996,0.34999999999999,2,3.74,1,0,0,1,0,0,1,0,0
15,176,3.95,3000,0,0.0,0.0,0.0,0.03,0.08,0.65,0.49,0.70999999999999,0.09,0.03,0.12,0.73,0.18,0.13,0.03,0.06999999999999999,0.22,2,3.95,0,0,1,0,0,0,0,0,0
16,186,3.67,24336,1,0.13999999999999999,0.8,0.04,0.32,0.6799999999999999,0.43,0.48,0.6,0.13,0.02,0.15,0.43,0.16,0.03,0.0,0.06999999999999999,0.0,1,0.0,1,0,0,0,0,0,1,0,1
17,224,3.74,4203,0,0.1,0.88,0.01,0.05,0.0,0.44,0.04,0.02,0.0,0.22999999999999998,0.44,0.58,0.1,0.44,0.0,0.4,0.88,3,3.3099999999999996,1,0,1,0,0,0,0,0,1
18,384,3.7,31926,1,0.5499999999999999,0.27,0.16,0.04,0.01,0.4,0.03,0.0,0.0,0.6,0.12,0.02,0.29,0.13999999999999999,0.0,0.43,0.97,3,3.78,1,0,0,0,1,0,0,1,0
19,399,3.89,1212,0,0.27999999999999997,0.58,0.12,0.25,0.06999999999999999,0.84,0.13999999999999999,0.03,0.03,0.12,0.74,0.19,0.2,0.12,0.03,0.13999999999999999,0.56999999999999,2,3.36,1,0,0,0,0,0,1,0,1
20,592,3.75,4888,1,0.53,0.22,0.22,0.01,0.0,0.18,0.16999999999999998,0.22,0.01,0.32,0.06999999999999999,0.4,0.8,0.56999999999999,0.43,0.15,0.21,3,3.755,1,0,0,1,0,0,0,0,0
21,226,3.68,60172,0,0.38999999999999996,0.45999999999999996,0.13,0.36,0.05,0.19,0.0,0.0,0.0,0.48,0.08,0.13999999999999999,0.08,0.09,0.0,0.33,0.8999999999999999,1,0.0,1,0,0,0,1,0,0,0,1
22,187,3.76,9267,0,0.5,0.1,0.3,0.04,0.0,0.16,0.0,0.0,0.0,0.5599999999999999,0.16999999999999998,0.15,0.06999999999999999,0.21,0.0,0.74,0.97,4,4.073333333333333,1,0,1,1,0,0,0,0,0
