,pages,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark,Literature and Art,Fiction,Science,Crime,Psychology,Social,Children,Romans,Biography,Entertainment
3515,272,4.28,16248,0,0.0,0.0,0.0,0.60999999999999,0.11,0.3399999999999999,0.24,0.2799999999999999,0.01,0.0,0.08,0.6799999999999999,0.03,0.19,0.8699999999999999,0.01,0.44,0,0,1,0,0,0,0,0,1,0
2553,228,3.94,3916,0,0.40999999999999,0.4,0.09,0.2299999999999999,0.02,0.4599999999999999,0.03,0.02,0.01,0.1699999999999999,0.1399999999999999,0.70999999999999,0.15,0.2799999999999999,0.01,0.4599999999999999,0.49,1,1,0,0,0,0,0,0,0,0
4572,512,4.02,1050,1,0.6799999999999999,0.1,0.21,0.38,0.19,0.56999999999999,0.25,0.08,0.03,0.4,0.16,0.04,0.95,0.21,0.0,0.38,0.22,0,1,0,0,0,0,1,0,0,0
4189,399,3.7,1997,1,0.22,0.74,0.04,0.03,0.0,0.37,0.0,0.03,0.0,0.22,0.22,0.58,0.08,0.59,0.11,0.12,0.64,1,1,0,0,0,0,0,0,0,0
3280,397,4.27,67905,0,0.37,0.5599999999999999,0.05,0.74,0.2799999999999999,0.7799999999999999,0.62,0.34999999999999,0.05,0.06,0.21,0.5499999999999999,0.08,0.0699999999999999,0.01,0.26,0.0699999999999999,1,1,0,0,0,0,0,0,0,0
3769,259,3.95,3097,0,0.0,0.0,0.0,0.62,0.31,0.63,0.29,0.3899999999999999,0.06,0.0,0.1,0.69,0.03,0.01,0.26,0.0,0.03,0,0,1,0,0,0,0,0,1,0
6752,396,3.66,16971,1,0.44,0.22,0.32,0.8699999999999999,0.70999999999999,0.05,0.13,0.12,0.13,0.01,0.0,0.08,0.81999999999999,0.02,0.11,0.06,0.04,1,1,0,0,0,0,0,0,0,0
5161,884,3.74,1197,0,0.5499999999999999,0.13,0.31,0.0,0.0,0.25,0.02,0.01,0.0,0.7799999999999999,0.34999999999999,0.08,0.32,0.3399999999999999,0.0,0.48,0.96,0,1,0,0,0,0,0,0,0,0
5855,352,3.96,16852,0,0.0,0.0,0.0,0.93,0.38,0.51,0.4499999999999999,0.42,0.03,0.01,0.06,0.46999999999999,0.03,0.06,0.16,0.0,0.18,0,0,1,0,0,0,0,0,1,0
6517,368,3.86,2362,0,0.25,0.69,0.05,0.73,0.62,0.63,0.66,0.24,0.15,0.0,0.2,0.3,0.02,0.02,0.1,0.0,0.02,1,1,0,0,0,0,0,1,0,0
6341,488,4.13,3873,1,0.59,0.15,0.24,0.05,0.0,0.42,0.1699999999999999,0.08,0.0,0.6799999999999999,0.21,0.21,0.73,0.31,0.04,0.32,0.8099999999999999,0,1,0,0,0,0,1,0,0,0
6663,560,3.63,1678,1,0.65,0.15,0.15,0.31,0.27,0.22,0.1399999999999999,0.06,0.0,0.34999999999999,0.1,0.06,0.97,0.1,0.0,0.2,0.08,0,1,0,0,0,0,1,0,0,0
565,416,3.93,1442,0,0.5499999999999999,0.08,0.34999999999999,0.11,0.0,0.16,0.32,0.13,0.0,0.46999999999999,0.04,0.38,0.66,0.37,0.15,0.46999999999999,0.4599999999999999,0,1,0,1,0,0,0,0,0,0
156,303,3.92,2254,1,0.1399999999999999,0.05,0.7799999999999999,0.13,0.1699999999999999,0.05,0.0,0.04,0.06,0.1399999999999999,0.01,0.04,0.88,0.06,0.08,0.88,0.1399999999999999,1,1,0,0,0,0,0,0,0,0
5160,313,3.98,4823,1,0.42,0.37,0.2,0.0,0.0,0.4,0.02,0.05,0.01,0.19,0.67,0.12,0.8099999999999999,0.24,0.01,0.13,0.73,1,1,0,0,0,0,0,0,0,0
5932,194,3.42,1801,0,0.21,0.73,0.05,0.01,0.0,0.44,0.0,0.0,0.0,0.48,0.21,0.36,0.01,0.24,0.0,0.3,0.91,1,1,0,0,0,0,0,0,0,0
130,400,4.06,16416,1,0.3,0.59,0.08,0.4499999999999999,0.62,0.53,0.33,0.11,0.1399999999999999,0.06,0.11,0.1399999999999999,0.60999999999999,0.04,0.06,0.08,0.08,0,1,0,0,0,0,1,0,0,0
4806,416,3.79,1442,0,0.33,0.6,0.06,0.1,0.1699999999999999,0.72,0.53,0.42,0.03,0.08,0.16,0.46999999999999,0.1,0.1,0.3899999999999999,0.16,0.01,0,1,1,0,0,1,1,0,0,0
6259,301,3.48,1929,1,0.2799999999999999,0.59,0.1,0.53,0.84,0.49,0.25,0.0699999999999999,0.15,0.05,0.04,0.06,0.0699999999999999,0.02,0.0,0.01,0.0,1,1,0,0,0,0,0,1,0,1
1321,316,4.02,34278,0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.4599999999999999,0.43,0.3,0.05,0.26,0.4499999999999999,0.34999999999999,0.91,1,0,1,1,0,0,0,0,0,0
1232,88,3.9,3420,1,0.26,0.62,0.11,0.15,0.3399999999999999,0.86,0.66,0.40999999999999,0.05,0.02,0.2799999999999999,0.2799999999999999,0.04,0.06,0.02,0.0,0.0,0,1,0,0,0,1,0,1,0,0
5997,416,3.63,6752,0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.1399999999999999,0.02,0.02,0.0,0.75,0.03,0.69,0.67,0.01,0.03,1,0,1,0,0,0,0,0,0,0
5944,406,3.2,7454,0,0.43,0.51,0.05,0.03,0.0,0.4499999999999999,0.01,0.0,0.0,0.18,0.36,0.25,0.04,0.15,0.0,0.81999999999999,0.77,0,1,0,0,0,0,0,0,0,0
3450,205,3.55,2247,0,0.21,0.72,0.05,0.0,0.0,0.65,0.0,0.0,0.0,0.36,0.76,0.3,0.01,0.75,0.01,0.04,0.91,1,1,0,0,0,0,0,0,0,0
1220,414,3.77,4910,0,0.36,0.5499999999999999,0.0699999999999999,0.0,0.0,0.42,0.03,0.0,0.0,0.8500000000000001,0.13,0.05,0.60999999999999,0.24,0.0,0.65,0.8699999999999999,0,1,0,0,0,1,0,0,0,0
1775,350,3.97,56397,0,0.51,0.3,0.18,0.1,0.06,0.69,0.15,0.13,0.02,0.29,0.31,0.21,0.75,0.11,0.06,0.12,0.27,1,1,1,0,0,0,0,1,0,0
4095,576,3.88,30975,1,0.4499999999999999,0.08,0.4499999999999999,0.1399999999999999,0.19,0.31,0.26,0.18,0.05,0.2,0.05,0.03,0.96,0.05,0.0,0.49,0.22,0,1,0,0,0,0,1,0,0,0
1624,336,3.92,1923,1,0.67,0.1,0.21,0.3899999999999999,0.64,0.59,0.32,0.1,0.22,0.03,0.16,0.15,0.26,0.02,0.0,0.8500000000000001,0.02,0,1,0,0,0,0,0,0,0,0
5032,290,3.56,1300,1,0.0,0.0,0.0,0.0,0.0,0.86,0.5,0.76,0.0,0.2299999999999999,0.53,0.6,0.03,0.3,0.33,0.0,0.33,0,0,1,0,0,0,0,0,1,0
2273,226,3.51,1179,0,0.26,0.67,0.04,0.02,0.0,0.37,0.09,0.03,0.02,0.0699999999999999,0.2299999999999999,0.75,0.12,0.16,0.0,0.76,0.33,1,1,0,0,0,0,0,0,0,0
3219,240,3.65,1748,0,0.42,0.5,0.06,0.0,0.0,0.3399999999999999,0.02,0.0,0.0,0.63,0.3899999999999999,0.3,0.05,0.3399999999999999,0.0,0.83,0.93,1,1,0,0,0,0,0,0,0,0
6819,352,3.94,41221,1,0.3,0.2299999999999999,0.42,0.60999999999999,0.73,0.03,0.0699999999999999,0.09,0.1699999999999999,0.01,0.0,0.11,0.88,0.05,0.01,0.22,0.04,1,1,0,0,0,0,1,0,0,0
2113,240,3.19,1086,0,0.16,0.6,0.05,0.09,0.0,0.11,0.02,0.02,0.0,0.16,0.0,0.53,0.08,0.5599999999999999,0.03,0.44,0.8500000000000001,1,1,0,0,0,0,0,0,0,0
1574,336,3.89,2439,0,0.4499999999999999,0.4499999999999999,0.08,0.11,0.0,0.8099999999999999,0.18,0.06,0.0,0.48,0.48,0.32,0.15,0.15,0.0,0.77,0.67,0,1,0,0,0,1,1,0,0,0
682,394,4.19,5749,1,0.5599999999999999,0.16,0.27,0.96,0.70999999999999,0.03,0.1,0.05,0.0699999999999999,0.03,0.0,0.0699999999999999,0.6799999999999999,0.0,0.04,0.15,0.0,0,1,0,0,0,0,0,0,0,0
6917,469,3.68,15159,1,0.40999999999999,0.36,0.21,0.4599999999999999,0.74,0.54,0.29,0.05,0.11,0.15,0.04,0.02,0.2299999999999999,0.03,0.0,0.08,0.02,0,1,1,0,0,0,0,1,0,0
4660,102,3.52,9028,0,0.18,0.73,0.05,0.04,0.2799999999999999,0.2,0.54,0.7799999999999999,0.1399999999999999,0.0,0.01,0.70999999999999,0.34999999999999,0.1,0.05,0.05,0.0,1,1,1,0,0,0,0,0,0,0
560,342,4.32,12732,1,0.63,0.08,0.27,0.84,0.6,0.25,0.13,0.06,0.12,0.1,0.04,0.06,0.64,0.03,0.01,0.83,0.04,0,1,0,1,0,0,0,0,0,0
6270,358,3.69,2085,1,0.3399999999999999,0.52,0.11,0.31,0.59,0.65,0.2299999999999999,0.0699999999999999,0.06,0.0699999999999999,0.13,0.0699999999999999,0.0699999999999999,0.04,0.0,0.0,0.05,1,1,0,0,0,0,0,1,0,0
3742,250,3.83,3482,0,0.0,0.0,0.0,0.97,0.4599999999999999,0.32,0.06,0.06,0.03,0.0,0.0699999999999999,0.40999999999999,0.02,0.04,0.05,0.0,0.1,1,0,1,0,0,0,0,0,1,0
3410,515,3.93,13576,1,0.48,0.06,0.44,0.03,0.0,0.58,0.09,0.12,0.0,0.8,0.2799999999999999,0.21,0.11,0.37,0.11,0.21,0.63,0,1,0,1,0,0,0,0,0,0
796,364,4.15,5326,0,0.0,0.0,0.0,0.04,0.0,0.37,0.37,0.89,0.0,0.15,0.05,0.56999999999999,0.26,0.46999999999999,0.38,0.0,0.19,0,0,1,0,1,0,0,0,1,0
4024,371,3.56,1684,1,0.5,0.26,0.2299999999999999,0.58,0.8699999999999999,0.37,0.2299999999999999,0.0699999999999999,0.22,0.08,0.01,0.05,0.3,0.01,0.0,0.09,0.0,0,1,1,0,0,0,0,1,0,0
5109,528,4.27,21296,1,0.60999999999999,0.25,0.13,0.0,0.0,0.81999999999999,0.25,0.34999999999999,0.0,0.4499999999999999,0.36,0.63,0.01,0.6,0.37,0.01,0.1699999999999999,1,1,0,0,0,0,0,0,0,0
2718,400,3.73,1846,0,0.58,0.2,0.2,0.0699999999999999,0.0,0.3399999999999999,0.01,0.0,0.0,0.75,0.29,0.04,0.02,0.13,0.0,0.72,0.96,0,1,0,1,0,0,0,0,0,0
6727,368,3.88,2127,0,0.36,0.59,0.04,0.18,0.13,0.8699999999999999,0.49,0.21,0.05,0.12,0.49,0.52,0.03,0.12,0.01,0.33,0.2299999999999999,1,1,0,0,0,0,0,1,0,0
3940,445,3.83,7900,0,0.22,0.73,0.03,0.52,0.06,0.65,0.08,0.05,0.02,0.16,0.18,0.72,0.02,0.27,0.06,0.02,0.08,1,1,0,0,0,0,0,0,0,0
2726,320,3.94,5005,0,0.2799999999999999,0.65,0.05,0.04,0.02,0.89,0.31,0.18,0.0,0.1399999999999999,0.73,0.4599999999999999,0.02,0.22,0.12,0.0,0.11,1,1,0,0,0,0,0,0,0,0
325,384,3.81,1337,0,0.3899999999999999,0.04,0.5499999999999999,0.34999999999999,0.26,0.09,0.04,0.01,0.03,0.3,0.0,0.01,0.72,0.03,0.04,0.89,0.03,0,1,0,0,0,0,0,0,0,0
1208,294,3.95,16465,0,0.5499999999999999,0.22,0.22,0.0,0.0,0.8699999999999999,0.11,0.13,0.0,0.2,0.8500000000000001,0.42,0.08,0.26,0.38,0.1399999999999999,0.46999999999999,0,1,1,0,0,0,0,0,0,0
2313,242,3.57,1047,1,0.52,0.37,0.09,0.08,0.05,0.37,0.03,0.02,0.0,0.56999999999999,0.1,0.03,0.18,0.12,0.01,0.36,0.8,1,1,0,0,0,1,0,1,0,0
5430,584,3.93,22257,1,0.58,0.1699999999999999,0.22,0.08,0.03,0.49,0.11,0.05,0.02,0.2799999999999999,0.08,0.09,0.89,0.12,0.12,0.67,0.3899999999999999,0,1,1,1,0,0,0,1,0,0
3104,400,3.72,4171,0,0.4499999999999999,0.4499999999999999,0.08,0.63,0.89,0.24,0.31,0.26,0.18,0.03,0.01,0.11,0.18,0.02,0.16,0.04,0.0,1,1,0,0,0,0,1,1,0,0
4802,160,4.25,7732,1,0.37,0.40999999999999,0.21,0.22,0.0699999999999999,0.42,0.22,0.11,0.01,0.19,0.11,0.1699999999999999,0.8500000000000001,0.08,0.18,0.5599999999999999,0.18,0,1,0,0,0,0,0,0,0,0
2804,351,3.63,7545,1,0.2799999999999999,0.64,0.0699999999999999,0.69,0.79,0.4499999999999999,0.33,0.38,0.11,0.01,0.02,0.1699999999999999,0.02,0.03,0.04,0.0,0.0,0,1,0,0,0,0,0,1,0,0
2001,1037,4.13,29168,0,0.56999999999999,0.3399999999999999,0.0699999999999999,0.12,0.03,0.83,0.18,0.1699999999999999,0.02,0.3399999999999999,0.56999999999999,0.43,0.4,0.43,0.1699999999999999,0.01,0.25,1,1,1,0,0,0,0,1,0,0
6760,325,3.98,1904,0,0.26,0.6799999999999999,0.04,0.74,0.6799999999999999,0.65,0.48,0.16,0.15,0.04,0.05,0.16,0.03,0.03,0.05,0.0,0.0,1,1,0,0,0,1,0,1,0,0
4043,480,3.64,1187,0,0.1399999999999999,0.8,0.06,0.0,0.0,0.26,0.0,0.0,0.0,0.46999999999999,0.4599999999999999,0.42,0.01,0.3399999999999999,0.0,0.36,0.98,0,1,0,1,0,0,0,0,0,0
